Accepted.SIVIM;Original.EuroMed;Accepted.EuroMed;Expert.Revision;Analysis.Names;Rank;Genus;Family;Order;Class;Group;Native
Ononis spinosa;Ononis spinosa;Ononis spinosa;Ononis spinosa;Ononis spinosa;sp.;Ononis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ononis spinosa subsp. maritima;Ononis spinosa subsp. maritima;Ononis spinosa subsp. procurrens;Ononis spinosa subsp. procurrens;Ononis spinosa;subsp.;Ononis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ononis spinosa subsp. spinosa;Ononis spinosa subsp. spinosa;Ononis spinosa subsp. spinosa;Ononis spinosa subsp. spinosa;Ononis spinosa;subsp.;Ononis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ononis striata;Ononis striata;Ononis striata;Ononis striata;Ononis striata;sp.;Ononis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ononis baetica var. baetica;Ononis baetica;Ononis subspicata;Ononis subspicata;Ononis subspicata;sp.;Ononis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;No
Ononis tridentata;Ononis tridentata;Ononis tridentata;Ononis tridentata;Ononis tridentata;sp.;Ononis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Onopordum acanthium;Onopordum acanthium;Onopordum acanthium;Onopordum acanthium;Onopordum acanthium;sp.;Onopordum;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Onopordum acanthium subsp. acanthium;Onopordum acanthium;Onopordum acanthium;Onopordum acanthium;Onopordum acanthium;sp.;Onopordum;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Onopordum acaulon;Onopordum acaulon;Onopordum acaulon;Onopordum acaulon;Onopordum acaulon;sp.;Onopordum;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Onopordon nervosum;Onopordum nervosum;Onopordum nervosum;Onopordum nervosum;Onopordum nervosum;sp.;Onopordum;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;No
Ophioglossum lusitanicum;Ophioglossum lusitanicum;Ophioglossum lusitanicum;Ophioglossum lusitanicum;Ophioglossum lusitanicum;sp.;Ophioglossum;Ophioglossaceae;Ophioglossales;Polypodiopsida;Tracheophytes;Yes
Ophioglossum vulgatum;Ophioglossum vulgatum;Ophioglossum vulgatum;Ophioglossum vulgatum;Ophioglossum vulgatum;sp.;Ophioglossum;Ophioglossaceae;Ophioglossales;Polypodiopsida;Tracheophytes;Yes
Ophrys;Ophrys;Ophrys;Ophrys;Ophrys;gen.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys apifera;Ophrys apifera;Ophrys apifera;Ophrys apifera;Ophrys apifera;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys fusca;Ophrys fusca;Ophrys fusca;Ophrys fusca;Ophrys fusca aggr.;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys insectifera;Ophrys insectifera;Ophrys insectifera;Ophrys insectifera;Ophrys insectifera;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys lutea;Ophrys lutea;Ophrys lutea;Ophrys lutea;Ophrys lutea aggr.;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys scolopax;Ophrys scolopax;Ophrys scolopax;Ophrys scolopax;Ophrys scolopax aggr.;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys scolopax subsp. scolopax;Ophrys scolopax subsp. scolopax;Ophrys scolopax subsp. scolopax;Ophrys scolopax subsp. scolopax;Ophrys scolopax aggr.;subsp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys speculum;Ophrys speculum;Ophrys speculum;Ophrys speculum;Ophrys speculum aggr.;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys sphegodes;Ophrys sphegodes;Ophrys sphegodes;Ophrys sphegodes;Ophrys sphegodes aggr.;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys sphegodes subsp. atrata;Ophrys sphegodes subsp. atrata;Ophrys sphegodes subsp. atrata;Ophrys sphegodes subsp. atrata;Ophrys sphegodes aggr.;subsp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ophrys tenthredinifera;Ophrys tenthredinifera;Ophrys tenthredinifera;Ophrys tenthredinifera;Ophrys tenthredinifera aggr.;sp.;Ophrys;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Opopanax chironium;Opopanax chironium;Opopanax chironium;Opopanax chironium;Opopanax chironium;sp.;Opopanax;Apiaceae;Apiales;Magnoliopsida;Tracheophytes;Yes
Opuntia tuna;Opuntia tuna;Opuntia tuna;Opuntia tuna;Opuntia tuna;sp.;Opuntia;Cactaceae;Caryophyllales;Magnoliopsida;Tracheophytes;No
Orchidacea;Orchidaceae;Orchidaceae;Orchidaceae;Orchidaceae;fam.;Orchidaceae;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchidaceae;Orchidaceae;Orchidaceae;Orchidaceae;Orchidaceae;gen.;Orchidaceae;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis;Orchis;Orchis;Orchis;Orchis;gen.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis anthropophora;Orchis anthropophora;Orchis anthropophora;Orchis anthropophora;Orchis anthropophora;sp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis anthropophorum;Orchis anthropophora;Orchis anthropophora;Orchis anthropophora;Orchis anthropophora;sp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis italica;Orchis italica;Orchis italica;Orchis italica;Orchis italica;sp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis langei;Orchis langei;Orchis mascula subsp. laxifloriformis;Orchis mascula subsp. laxifloriformis;Orchis mascula;subsp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis mascula;Orchis mascula subsp. mascula;Orchis mascula subsp. mascula;Orchis mascula subsp. mascula;Orchis mascula;subsp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis pallens;Orchis pallens;Orchis pallens;Orchis pallens;Orchis pallens;sp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis provincialis;Orchis provincialis;Orchis provincialis;Orchis provincialis;Orchis provincialis;sp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis purpurea;Orchis purpurea;Orchis purpurea;Orchis purpurea;Orchis purpurea;sp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Orchis simia;Orchis simia;Orchis simia;Orchis simia;Orchis simia;sp.;Orchis;Orchidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Oreochloa confusa;Oreochloa confusa;Oreochloa confusa;Oreochloa confusa;Oreochloa confusa;sp.;Oreochloa;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Oreochloa confussa;Oreochloa confusa;Oreochloa confusa;Oreochloa confusa;Oreochloa confusa;sp.;Oreochloa;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Oreochloa seslerioides subsp. confusa;Oreochloa seslerioides;Oreochloa seslerioides;Oreochloa confusa;Oreochloa confusa;sp.;Oreochloa;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Oreochoa seslerioides subsp. confusa;Oreochoa seslerioides subsp. confusa;Oreochloa confusa;Oreochloa confusa;Oreochloa confusa;sp.;Oreochloa;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Sesleria confusa;Sesleria confusa;Oreochloa confusa;Oreochloa confusa;Oreochloa confusa;sp.;Oreochloa;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Oreochloa blanka;Oreochloa blanka;Oreochloa disticha subsp. blanka;Oreochloa disticha subsp. blanka;Oreochloa disticha;subsp.;Oreochloa;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Oreochloa seslerioides;Oreochloa seslerioides;Oreochloa seslerioides;Oreochloa seslerioides;Oreochloa seslerioides;sp.;Oreochloa;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Oiganum virens;Origanum virens;Origanum vulgare subsp. virens;Origanum vulgare subsp. virens;Origanum vulgare;subsp.;Origanum;Lamiaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Origanum virens;Origanum virens;Origanum vulgare subsp. virens;Origanum vulgare subsp. virens;Origanum vulgare;subsp.;Origanum;Lamiaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Origanum vixens;Origanum virens;Origanum vulgare subsp. virens;Origanum vulgare subsp. virens;Origanum vulgare;subsp.;Origanum;Lamiaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Origanum vulgare;Origanum vulgare;Origanum vulgare;Origanum vulgare;Origanum vulgare;sp.;Origanum;Lamiaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Origanum vulgare subsp. virens;Origanum vulgare subsp. virens;Origanum vulgare subsp. virens;Origanum vulgare subsp. virens;Origanum vulgare;subsp.;Origanum;Lamiaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Origanum vulgare subsp. vulgare;Origanum vulgare subsp. vulgare;Origanum vulgare subsp. vulgare;Origanum vulgare subsp. vulgare;Origanum vulgare;subsp.;Origanum;Lamiaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orlaya daucoides;Orlaya daucoides;Orlaya daucoides;Orlaya daucoides;Orlaya daucoides;sp.;Orlaya;Apiaceae;Apiales;Magnoliopsida;Tracheophytes;Yes
Ornithogalum orthophyllum subsp. baeticum;Ornithogalum orthophyllum subsp. baeticum;Ornithogalum baeticum;Ornithogalum baeticum;Ornithogalum baeticum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;No
Ornithogalum broteroi;Ornithogalum broteroi;Ornithogalum broteroi;Ornithogalum broteroi;Ornithogalum broteroi;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum coccinum;Ornithogalum concinnum;Ornithogalum concinnum;Ornithogalum concinnum;Ornithogalum concinnum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum concinnum;Ornithogalum concinnum;Ornithogalum concinnum;Ornithogalum concinnum;Ornithogalum concinnum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum concinum;Ornithogalum concinnum;Ornithogalum concinnum;Ornithogalum concinnum;Ornithogalum concinnum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum narbonense;Ornithogalum narbonense;Ornithogalum narbonense;Ornithogalum narbonense;Ornithogalum narbonense;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum orthophyllum subsp. monticolum;Ornithogalum orthophyllum subsp. orthophyllum;Ornithogalum orthophyllum subsp. orthophyllum;Ornithogalum orthophyllum subsp. orthophyllum;Ornithogalum orthophyllum;subsp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum pyrenaicm;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum pyrenaicum subsp. pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;Ornithogalum pyrenaicum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogallum umbellatum;Ornithogalum umbellatum;Ornithogalum umbellatum;Ornithogalum umbellatum;Ornithogalum umbellatum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithogalum umbellatum;Ornithogalum umbellatum;Ornithogalum umbellatum;Ornithogalum umbellatum;Ornithogalum umbellatum;sp.;Ornithogalum;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Ornithopus;Ornithopus;Ornithopus;Ornithopus;Ornithopus;gen.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Omithopus compressus;Ornithopus compressus;Ornithopus compressus;Ornithopus compressus;Ornithopus compressus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus compressus;Ornithopus compressus;Ornithopus compressus;Ornithopus compressus;Ornithopus compressus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus pepusillus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus perpusillus subsp. hirsutus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus perspusillus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus pinnatus;Ornithopus pinnatus;Ornithopus pinnatus;Ornithopus pinnatus;Ornithopus pinnatus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus reseus;Ornithopus roseus;Ornithopus sativus;Ornithopus sativus;Ornithopus sativus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus sativus;Ornithopus sativus;Ornithopus sativus;Ornithopus sativus;Ornithopus sativus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornithopus sativus subsp. sativus;Ornithopus sativus subsp. roseus;Ornithopus sativus;Ornithopus sativus;Ornithopus sativus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Ornittopus sativus subsp. sativus;Ornithopus sativus;Ornithopus sativus;Ornithopus sativus;Ornithopus sativus;sp.;Ornithopus;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Orobanche;Orobanche;Orobanche;Orobanche;Orobanche;gen.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche alba;Orobanche alba;Orobanche alba;Orobanche alba;Orobanche alba;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche amethystea subsp. amethystea;Orobanche amethystea;Orobanche amethystea;Orobanche amethystea;Orobanche amethystea;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche caryophyllacea;Orobanche caryophyllacea;Orobanche caryophyllacea;Orobanche caryophyllacea;Orobanche caryophyllacea;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche caryophyllaceae;Orobanche caryophyllacea;Orobanche caryophyllacea;Orobanche caryophyllacea;Orobanche caryophyllacea;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche gracilis;Orobanche gracilis;Orobanche gracilis;Orobanche gracilis;Orobanche gracilis;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche hederae;Orobanche hederae;Orobanche hederae;Orobanche hederae;Orobanche hederae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche lutea;Orobanche lutea;Orobanche lutea;Orobanche lutea;Orobanche lutea;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;No
Orobanche minor;Orobanche minor;Orobanche minor;Orobanche minor;Orobanche minor;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche minus;Orobanche minor;Orobanche minor;Orobanche minor;Orobanche minor;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche rapum subsp. genistae;Orobanche rapum;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche rapum.genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche rapumgenistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche rapumgenistae subsp. rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche rapumgenistae+;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche rapumgenisteae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche rapusgenistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;Orobanche rapum-genistae;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche sanguina;Orobanche sanguinea;Orobanche sanguinea;Orobanche sanguinea;Orobanche sanguinea;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;No
Orobanche sanguinea;Orobanche sanguinea;Orobanche sanguinea;Orobanche sanguinea;Orobanche sanguinea;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;No
Orobanche teucrii;Orobanche teucrii;Orobanche teucrii;Orobanche teucrii;Orobanche teucrii;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Orobanche variegata;Orobanche variegata;Orobanche variegata;Orobanche variegata;Orobanche variegata;sp.;Orobanche;Orobanchaceae;Lamiales;Magnoliopsida;Tracheophytes;Yes
Osmunda ragalis;Osmunda regalis;Osmunda regalis;Osmunda regalis;Osmunda regalis;sp.;Osmunda;Osmundaceae;Osmundales;Polypodiopsida;Tracheophytes;Yes
Osmunda regalis;Osmunda regalis;Osmunda regalis;Osmunda regalis;Osmunda regalis;sp.;Osmunda;Osmundaceae;Osmundales;Polypodiopsida;Tracheophytes;Yes
Osirys alba;Osyris alba;Osyris alba;Osyris alba;Osyris alba;sp.;Osyris;Santalaceae;Santalales;Magnoliopsida;Tracheophytes;Yes
Osyris alba;Osyris alba;Osyris alba;Osyris alba;Osyris alba;sp.;Osyris;Santalaceae;Santalales;Magnoliopsida;Tracheophytes;Yes
Oxyris alba;Osyris alba;Osyris alba;Osyris alba;Osyris alba;sp.;Osyris;Santalaceae;Santalales;Magnoliopsida;Tracheophytes;Yes
Osyris quadripartita;Osyris quadripartita;Osyris lanceolata;Osyris lanceolata;Osyris lanceolata;sp.;Osyris;Santalaceae;Santalales;Magnoliopsida;Tracheophytes;No
Oxalis acelosella;Oxalis acetosella;Oxalis acetosella;Oxalis acetosella;Oxalis acetosella;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;Yes
Oxalis acetosella;Oxalis acetosella;Oxalis acetosella;Oxalis acetosella;Oxalis acetosella;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;Yes
Oxalis corniculata;Oxalis corniculata;Oxalis corniculata;Oxalis corniculata;Oxalis corniculata;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis lantifolia;Oxalis latifolia;Oxalis latifolia;Oxalis latifolia;Oxalis latifolia;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis latifolia;Oxalis latifolia;Oxalis latifolia;Oxalis latifolia;Oxalis latifolia;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis pescaprae;Oxalis pes-caprae;Oxalis pes-caprae;Oxalis pes-caprae;Oxalis pes-caprae;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis pescaprea;Oxalis pes-caprae;Oxalis pes-caprae;Oxalis pes-caprae;Oxalis pes-caprae;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis prescapreae;Oxalis pes-caprae;Oxalis pes-caprae;Oxalis pes-caprae;Oxalis pes-caprae;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis purpurea;Oxalis purpurea;Oxalis purpurea;Oxalis purpurea;Oxalis purpurea;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis stricta;Oxalis stricta;Oxalis stricta;Oxalis stricta;Oxalis stricta;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Oxalis violacea;Oxalis violacea;Oxalis violacea;Oxalis violacea;Oxalis violacea;sp.;Oxalis;Oxalidaceae;Oxalidales;Magnoliopsida;Tracheophytes;No
Chenopodium glaucum;Chenopodium glaucum;Oxybasis glauca;Oxybasis glauca;Oxybasis glauca;sp.;Oxybasis;Amaranthaceae;Caryophyllales;Magnoliopsida;Tracheophytes;Yes
Chenopodium rubrum subsp. humile;Chenopodium rubrum;Oxybasis rubra;Oxybasis rubra;Oxybasis rubra;sp.;Oxybasis;Amaranthaceae;Caryophyllales;Magnoliopsida;Tracheophytes;Yes
Oxytropis;Oxytropis;Oxytropis;Oxytropis;Oxytropis;gen.;Oxytropis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Oxytropis foucadii;Oxytropis foucaudii;Oxytropis foucaudii;Oxytropis foucaudii;Oxytropis foucaudii;sp.;Oxytropis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Oxytropis foucaudii;Oxytropis foucaudii;Oxytropis foucaudii;Oxytropis foucaudii;Oxytropis foucaudii;sp.;Oxytropis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Oxytropis halleri;Oxytropis halleri;Oxytropis halleri;Oxytropis halleri;Oxytropis halleri;sp.;Oxytropis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Oxytropis halleri subsp. halleri;Oxytropis halleri subsp. halleri;Oxytropis halleri subsp. halleri;Oxytropis halleri subsp. halleri;Oxytropis halleri;subsp.;Oxytropis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Oxytropis hallerii;Oxytropis halleri;Oxytropis halleri;Oxytropis halleri;Oxytropis halleri;sp.;Oxytropis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Oxytropis neglecta;Oxytropis neglecta;Oxytropis neglecta;Oxytropis neglecta;Oxytropis neglecta;sp.;Oxytropis;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;Yes
Paeonia broteri;Paeonia broteroi;Paeonia broteroi;Paeonia broteroi;Paeonia broteroi;sp.;Paeonia;Paeoniaceae;Saxifragales;Magnoliopsida;Tracheophytes;Yes
Paeonia officinalis subsp. microcarpa;Paeonia officinalis subsp. microcarpa;Paeonia officinalis subsp. microcarpa;Paeonia officinalis subsp. microcarpa;Paeonia officinalis;subsp.;Paeonia;Paeoniaceae;Saxifragales;Magnoliopsida;Tracheophytes;Yes
Asteriscus maritimus;Asteriscus maritimus;Pallenis maritima;Pallenis maritima;Pallenis maritima;sp.;Pallenis;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;No
Pallenis spinosa;Pallenis spinosa;Pallenis spinosa;Pallenis spinosa;Pallenis spinosa;sp.;Pallenis;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Pancratium maritimum;Pancratium maritimum;Pancratium maritimum;Pancratium maritimum;Pancratium maritimum;sp.;Pancratium;Amaryllidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Pancratium maritimun;Pancratium maritimum;Pancratium maritimum;Pancratium maritimum;Pancratium maritimum;sp.;Pancratium;Amaryllidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Panicum capillare;Panicum capillare;Panicum capillare;Panicum capillare;Panicum capillare;sp.;Panicum;Poaceae;Poales;Liliopsida;Tracheophytes;No
Panicum dichotomiflorum;Panicum dichotomiflorum;Panicum dichotomiflorum;Panicum dichotomiflorum;Panicum dichotomiflorum;sp.;Panicum;Poaceae;Poales;Liliopsida;Tracheophytes;No
Panicum repens;Panicum repens;Panicum repens;Panicum repens;Panicum repens;sp.;Panicum;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Papaver argemone;Papaver argemone;Papaver argemone;Papaver argemone;Papaver argemone;sp.;Papaver;Papaveraceae;Ranunculales;Magnoliopsida;Tracheophytes;Yes
Papaver dubium;Papaver dubium;Papaver dubium;Papaver dubium;Papaver dubium;sp.;Papaver;Papaveraceae;Ranunculales;Magnoliopsida;Tracheophytes;Yes
Papaver hybridum;Papaver hybridum;Papaver hybridum;Papaver hybridum;Papaver hybridum;sp.;Papaver;Papaveraceae;Ranunculales;Magnoliopsida;Tracheophytes;Yes
Papaver rhoeas;Papaver rhoeas;Papaver rhoeas;Papaver rhoeas;Papaver rhoeas;sp.;Papaver;Papaveraceae;Ranunculales;Magnoliopsida;Tracheophytes;Yes
Papaver somniferum;Papaver somniferum;Papaver somniferum;Papaver somniferum;Papaver somniferum;sp.;Papaver;Papaveraceae;Ranunculales;Magnoliopsida;Tracheophytes;No
Paradisea lusitana;Paradisea lusitanica;Paradisea lusitanica;Paradisea lusitanica;Paradisea lusitanica;sp.;Paradisea;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Paradisea lusitanica;Paradisea lusitanica;Paradisea lusitanica;Paradisea lusitanica;Paradisea lusitanica;sp.;Paradisea;Asparagaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Paragymnopteris marantae;Paragymnopteris marantae;Paragymnopteris marantae;Paragymnopteris marantae;Paragymnopteris marantae;sp.;Paragymnopteris;Pteridaceae;Polypodiales;Polypodiopsida;Tracheophytes;Yes
Parapholis filiformis;Parapholis filiformis;Parapholis filiformis;Parapholis filiformis;Parapholis filiformis;sp.;Parapholis;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Parapholis incurva;Parapholis incurva;Parapholis incurva;Parapholis incurva;Parapholis incurva;sp.;Parapholis;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
