Original.Name,taxon
Lactuca serriola,Lactuca serriola
Lactuca virosa,Lactuca virosa
Lamium maculatum,Lamium maculatum
Lathyrus pratensis,Lathyrus pratensis
Lavatera cretica,Malva sylvestris
Leontodon hispidus,Leontodon hispidus
Lepidium didymum (plántula),Lepidium didymum
Leucanthemum vulgare,Leucanthemum vulgare s.l.
Lilium pyrenaicum,Lilium pyrenaicum
Linum bienne,Linum bienne
Linum catharticum,Linum catharticum
Linum strictum,Linum strictum
Lollium cf. multiflorum,Lolium perenne
Lollium perenne,Lolium perenne
Lonicera periclimenum,Lonicera periclymenum
Lotus corniculatus,Lotus corniculatus
Lotus corniculatus subsp. tenuis,Lotus corniculatus
Lotus pedunculatus,Lotus corniculatus
Lotus pedunculatus,Lotus pedunculatus
Luzula campestris,Luzula campestris
Lycopus europeus,Lycopus europaeus
Lysimachia arvensis,Anagallis arvensis
Lythrum hyssopifolia,Lythrum hyssopifolia
Lythrum junceum,Lythrum junceum
Matricaria sp.,Anthemis cotula
Medicago lupulina,Medicago lupulina
Medicago polymorphica,Medicago polymorpha
Medicago sativa,Medicago sativa
Melica uniflora,Melica uniflora
Melilotus albus,Melilotus albus
Mentha acuatica,Mentha aquatica
Mentha suaveolens,Mentha suaveolens
Mercurialis perennis,Mercurialis perennis
Oenanthe crocata,Oenanthe crocata
Ophrys apifera,Ophrys apifera
Orobanche menor,Orobanche minor
Oxalis corniculata,Oxalis corniculata
Oxalis latifolia,Oxalis latifolia
Oxalis sp.,Oxalis latifolia
Parentucellia latifolia,Parentucellia viscosa
Parentucellia viscosa,Parentucellia viscosa
Parietaria judaica,Parietaria judaica
Paspalum dilatatum,Paspalum dilatatum
Persicaria cf maculosa,Persicaria hydropiper
Petrorhagia nanteuilii,Petrorhagia nanteuilii
Pimpinella saxifraga,Pimpinella saxifraga
Plantago coronopus,Plantago coronopus
Plantago lanceolata,Plantago lanceolata
Plantago mayor,Plantago major
Plantago media,Plantago media
Poa annua,Ochlopoa annua
Poa cf annua,Poa pratensis
Poa pequeña,Agrostis stolonifera
Poa pratensis,Poa pratensis
Poa sp.,Juncus bufonius
Poa sp.,Poa pratensis
Poa sp.,Agrostis capillaris
Poa sp. 21,Agrostis capillaris
Poa sp. 24,Brachypodium sylvaticum
Poaceae,Agrostis stolonifera
Poaceae (noseque rigida),Catapodium rigidum
Poaceae (veg.),Schedonorus arundinaceus
Poaceae grande laxa,Agrostis capillaris
Poaceae grande laxa,Agrostis stolonifera
Polycarpon tetraphyllum,Polycarpon tetraphyllum
Polygala vulgaris,Polygala vulgaris
Polygonum aviculare,Polygonum aviculare
Polypodium cambricum (ALCANTARILLA),Polypodium cambricum
Polypodium vulgare,Polypodium vulgare
Potentilla reptans,Potentilla reptans
Potentilla sterilis,Potentilla sterilis
Prunella grandiflora,Prunella vulgaris
Prunella vulgaris,Prunella vulgaris
Pteridium aquilinum,Pteridium aquilinum
Pulicaria dysenterica,Pulicaria dysenterica
Pulicaria sp. (sin hojas basales),Pulicaria dysenterica
Ranunculus acris,Ranunculus acris
Ranunculus bulbosus,Ranunculus bulbosus
Ranunculus repens,Ranunculus repens
Ranunculus sp. 24,Ranunculus parviflorus
Raphanus raphanistrum,Raphanus raphanistrum
Reichardia picroides ,Reichardia picroides
Rhinanthus angustifolius,Rhinanthus angustifolius
Rosa sp.,Rosa sp.
Rostraria cristata,Rostraria cristata
Rubia peregrina,Rubia peregrina
Rubus sp.,Rubus sp.
Rumex sp.,Rumex crispus
Rumex sp.,Rumex conglomeratus
Rumex conglomerata,Rumex conglomeratus
Rumex sp. 28,Rumex obtusifolius
Rumex cf sanguineus,Rumex sanguineus
Ruscus acuelatus,Ruscus aculeatus
Sagina apetala,Sagina apetala
Sagina procumbens,Sagina procumbens
Scilla verna,Scilla verna
Scrophularia auriculata,Scrophularia auriculata
Senecio vulgaris,Senecio vulgaris
Serapias lingua,Serapias lingua
Serapias parviflora,Serapias parviflora
Setaria pumila,Setaria pumila
Sherardia arvensis,Sherardia arvensis
Silene gallica,Silene gallica
Sinapis sp. (Brassicaceae),Brassica nigra
Smilax aspera,Smilax aspera
Solanum chenopodioides,Solanum chenopodioides
Solanum nigrum,Solanum nigrum
Sonchus oleraceus,Sonchus oleraceus
Sonchus tenerrimus,Sonchus tenerrimus
Sporobolus indicus,Sporobolus indicus
Tamus communis,Dioscorea communis
Taraxacum gr. officinale,Taraxacum gr. officinale
Teucrium scorodonia,Teucrium scorodonia
Torilis nodosa,Torilis nodosa
Tradescantia fluminensis,Tradescantia fluminensis
Trifolium campestre,Trifolium campestre
Trifolium pratense,Trifolium pratense
Trifolium repens,Trifolium repens
Trifolium sp.,Trifolium repens
Trifolium sp.,Trifolium squamosum
Trifolium tomentosum,Trifolium tomentosum
Trisetum flavescens,Trisetum flavescens
Ulex europeus,Ulex europaeus
Urtica dioica,Urtica dioica
Verbena officinalis,Verbena officinalis
Veronica arvensis,Veronica arvensis
Veronica chamaedris,Veronica chamaedrys
Veronica montana,Veronica montana
Veronica persica,Veronica persica
Vicia cf sativa,Vicia sativa
Vicia cracca,Vicia cracca
Vicia pubescens,Vicia pubescens
Vicia sativa,Vicia sativa
Viola riviniana,Viola reichenbachiana s.l.
Vulpia bromoides,Vulpia bromoides
