# Constructed from biom file
#OTU ID	1-ITS	10-ITS	11-ITS	12-ITS	13-ITS	14-ITS	15-ITS	16-ITS	17-ITS	18-ITS	19-ITS	2-ITS	20-ITS	21-ITS	22-ITS	23FD-ITS	24-ITS	25-ITS	26-ITS	27-ITS	28-ITS	29-ITS	3-ITS	30-ITS	4-ITS	5-ITS	6-ITS	7-ITS	8-ITS	9-ITS	taxonomy
079240a1ba113328cf31bd0c39964cfb	693.0	618.0	94.0	4877.0	288.0	3681.0	81.0	59.0	33.0	3277.0	0.0	158.0	50.0	96.0	295.0	0.0	1200.0	589.0	2053.0	2378.0	2181.0	1533.0	103.0	273.0	1112.0	1227.0	210.0	1433.0	277.0	48.0	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_minutissima
f6c6235b937b82f390a0b815882abd02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24549.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__unidentified; s__unidentified
8b5caca9dadf0e252f80da7178568088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24006.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe
9098798bec00be7862c51eaa04e65a8d	0.0	1465.0	0.0	0.0	0.0	953.0	18032.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2598.0	0.0	773.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; s__unidentified
a25e162917132b17a2e85578d39b1a45	47.0	0.0	0.0	0.0	1120.0	149.0	0.0	0.0	0.0	474.0	0.0	1411.0	0.0	0.0	0.0	0.0	85.0	353.0	5424.0	0.0	86.0	632.0	0.0	71.0	0.0	316.0	3854.0	0.0	9072.0	40.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Apiotrichum
197e375f1b8b8fc9122b08e435c3403a	0.0	0.0	2861.0	0.0	0.0	0.0	1383.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18218.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe
a6b7c7b949c9ed6ff8507148109c05dd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21951.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae
c482cf5b6fd6c33f451b4ca49f6afec7	440.0	1230.0	0.0	3400.0	182.0	0.0	0.0	0.0	713.0	833.0	0.0	783.0	0.0	27.0	0.0	0.0	0.0	340.0	3471.0	2672.0	0.0	0.0	0.0	0.0	0.0	2701.0	420.0	2256.0	1529.0	583.0	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
6ce7604e712f963bbd0ae0f6b7a3cf5e	76.0	26.0	48.0	0.0	0.0	125.0	0.0	33.0	433.0	31.0	190.0	0.0	8699.0	97.0	209.0	153.0	24.0	9181.0	298.0	33.0	0.0	0.0	0.0	0.0	0.0	43.0	90.0	0.0	59.0	47.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_angustiovoidea
04ba5801045987c7ca491d8bf12b3bb7	344.0	472.0	0.0	5767.0	362.0	522.0	0.0	74.0	0.0	2301.0	84.0	27.0	145.0	198.0	0.0	0.0	0.0	2663.0	1914.0	2489.0	221.0	0.0	0.0	0.0	1646.0	111.0	33.0	0.0	166.0	28.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
