id,date,habitat,longitude,latitude,surface_m2,slope_degrees,aspect,vegetation_percent,mosses_percent,soil_percent,rocks_percent,litter_percent,canopy_percent,municipality,district,neighborhood ,site
Xixon01,2023-06-02,N4A,-5.6527083,43.5210433,16,0,-,95,0,5,0,0,0,Xixón,Xixón Este,Viesques,La Coría
Xixon02,2023-06-02,N2,-5.6108566,43.526875,16,0,-,99,0,1,0,0,0,Xixón,Rural Este,Cabueñes,Av. De la Pecuaria
Xixon03,2023-06-05,N1,-5.621742,43.519328,16,0,-,60,0,0,0,40,70,Xixón,Rural Este,Cabueñes,Carbayera del Tragamón
Xixon04,2023-06-05,N2,-5.6868283,43.5262233,16,0,-,95,1,3,1,0,0,Xixón,Xixón Sur,La Peral,cerca de Prau
Xixon05,2023-06-05,N4A,-5.6845966,43.5277549,16,0,-,100,0,0,0,0,0,Xixón,Xixón Sur,La Peral,Les Maravilles
Xixon06,2023-06-07,N4B,-5.7044116,43.5416766,16,15,S,95,0,0,5,0,0,Xixón,Xixón Oeste,La Calzada,vías de tren cerca del parking C. de Martín / C. Cardona
Xixon07,2023-06-07,N2,-5.67152216,43.5402699,16,3,NO,100,0,0,0,0,0,Xixón,Rural Oeste,Xove,detrás del cementerio municipal de Xove
Xixon08,2023-06-07,N4A,-5.7078899,43.5366616,16,0,-,95,0,5,0,0,0,Xixón,Xixón Oeste,La Calzada,C. de Editor Silveiro Cañada esq. C. Solar
Xixon09,2023-06-08,N4A,-5.6665433,43.5116366,16,0,-,100,0,0,0,0,0,Xixón,Xixón Sur,Nuevo Roces,cerca de la rotonda Pza. Braña
Xixon10,2023-06-08,N2,-5.66056,43.5134416,16,0,-,100,0,0,0,0,0,Xixón,Xixón Sur,Nuevo Roces,frente del parking de Campos de Braña Sur
Xixon11,2023-06-08,N4B,-5.6589999,43.5146849,16,1,O,80,5,0,15,0,0,Xixón,Xixón Sur,Nuevo Roces,Crtra. Ceares cruce A8
Xixon12,2023-06-12,N3,-5.63355,43.5380066,16,0,-,100,0,0,0,0,0,Xixón,Xixón Este,La Guía,Muséu del Pueblu d'Asturies
Xixon13,2023-06-12,N4A,-5.634155,43.5389916,16,0,-,95,0,0,5,0,0,Xixón,Xixón Este,La Guía,detrás del Muséu del Pueblu d'Asturies
Xixon14,2023-06-12,N2,-5.605125,43.5384433,16,1,NNE,100,0,0,0,0,0,Xixón,Rural Este,Somió,parcela rústica en l’Infanzón
Xixon15,2023-06-14,N4B,-5.6330849,43.5199549,16,3,NE,90,9,0,1,0,0,Xixón,Rural Este,Castiello Bernueces,cuneta Crtra. Castiello / A8
Xixon16,2023-06-14,N4B,-5.6883333,43.5111366,16,10,SE,60,5,0,5,30,0,Xixón,Xixón Sur,Porceyo,"cuneta al lado del parking de Lidl, Av. De Oviedo"
Xixon17,2023-06-14,N4B,-5.6763033,43.5286216,16,20,NE,90,5,5,0,0,0,Xixón,Xixón Sur,El Polígono,cuneta Avda. de Gaspar García Laviana / Av. Ppe. de Asturias/ cruce Av. de Constitución
Xixon18,2023-06-14,N3,-5.6762466,43.5292116,16,0,-,100,0,0,0,0,0,Xixón,Xixón Sur,El Polígono,parque infantil Puerto de Piedrafita
Xixon19,2023-06-19,N4C,-5.6571783,43.523325,16,0,-,60,15,13,2,0,0,Xixón,Xixón Este,Ciares,Cerámica Gijonesa
Xixon20,2023-06-19,N4C,-5.67807,43.5405733,16,0,-,70,15,10,5,0,0,Xixón,Xixón Oeste,El Natahoyo,Naval Xixón
Xixon21,2023-06-19,N4C,-5.7154383,43.5361933,16,0,-,70,5,20,5,0,0,Xixón,Rural Oeste,Veriña,C/ Manuel Vigil Montoto; cerca de la gasolinera La Estrella de Qatar
Xixon22,2023-06-21,N4C,-5.7091966,43.5395483,16,0,-,60,10,0,30,0,0,Xixón,Xixón Oeste,La Calzada,C/ Berto Turullo esq. C/ Pololo
