taxon,family,lifeform,origin
Ilex aquifolium,Aquifoliaceae,Mesophanerophyte,Native
Juncus bufonius,Juncaceae,Therophyte,Native
Juncus inflexus,Juncaceae,Hemicryptophyte,Native
Kickxia elatine,Scrophulariaceae,Therophyte,Native
Sixalix atropurpurea,Caprifoliaceae,Hemicryptophyte,Native
Lactuca serriola,Asteraceae,Therophyte,Native
Lactuca virosa,Asteraceae,Hemicryptophyte,Native
Lamium maculatum,Lamiaceae,Hemicryptophyte,Native
Lathyrus pratensis,Fabaceae,Hemicryptophyte,Native
Laurus nobilis,Lauraceae,Mesophanerophyte,Native
Leontodon hispidus,Asteraceae,Hemicryptophyte,Native
Lepidium didymum,Brassicaceae,Therophyte,Alien
Leucanthemum vulgare s.l.,Asteraceae,Hemicryptophyte,Native
Lilium pyrenaicum,Liliaceae,Geophyte,Native
Linum bienne,Linaceae,Hemicryptophyte,Native
Linum catharticum,Linaceae,Therophyte,Native
Linum strictum,Linaceae,Therophyte,Native
Lolium perenne,Poaceae,Hemicryptophyte,Native
Lonicera periclymenum,Caprifoliaceae,Vine,Native
Lotus corniculatus,Fabaceae,Hemicryptophyte,Native
Lotus pedunculatus,Fabaceae,Hemicryptophyte,Native
Luzula campestris,Juncaceae,Hemicryptophyte,Native
Lycopus europaeus,Lamiaceae,Hemicryptophyte,Native
Lythrum hyssopifolia,Lythraceae,Therophyte,Native
Lythrum junceum,Lythraceae,Chamaephyte,Native
Malva sylvestris,Malvaceae,Hemicryptophyte,Native
Medicago lupulina,Fabaceae,Hemicryptophyte,Native
Medicago polymorpha,Fabaceae,Therophyte,Native
Medicago sativa,Fabaceae,Hemicryptophyte,Native
Melica uniflora,Poaceae,Hemicryptophyte,Native
Melilotus albus,Fabaceae,Therophyte,Native
Mentha aquatica,Lamiaceae,Hemicryptophyte,Native
Mentha suaveolens,Lamiaceae,Hemicryptophyte,Native
Mercurialis perennis,Euphorbiaceae,Geophyte,Native
Ochlopoa annua,Poaceae,Therophyte,Native
Oenanthe crocata,Apiaceae,Hemicryptophyte,Native
Ophrys apifera,Orchidaceae,Geophyte,Native
Orobanche minor,Orobanchaceae,Geophyte,Native
Oxalis corniculata,Oxalidaceae,Hemicryptophyte,Alien
Oxalis latifolia,Oxalidaceae,Geophyte,Alien
Parentucellia viscosa,Orobanchaceae,Therophyte,Native
Parietaria judaica,Urticaceae,Chamaephyte,Native
Paspalum dilatatum,Poaceae,Hemicryptophyte,Alien
Persicaria hydropiper,Polygonaceae,Therophyte,Native
Petrorhagia nanteuilii,Caryophyllaceae,Therophyte,Native
Physospermum cornubiense,Apiaceae,Hemicryptophyte,Native
Picris hieracioides,Asteraceae,Hemicryptophyte,Native
Pimpinella saxifraga,Apiaceae,Hemicryptophyte,Native
Plantago coronopus,Plantaginaceae,Therophyte,Native
Plantago lanceolata,Plantaginaceae,Hemicryptophyte,Native
Plantago major,Plantaginaceae,Hemicryptophyte,Native
Plantago media,Plantaginaceae,Hemicryptophyte,Native
Poa pratensis,Poaceae,Hemicryptophyte,Native
Polycarpon tetraphyllum,Caryophyllaceae,Therophyte,Native
Polygala vulgaris,Polygalaceae,Hemicryptophyte,Native
Polygonum aviculare,Polygonaceae,Therophyte,Native
Polypodium cambricum,Polypodiaceae,Geophyte,Native
Polypodium vulgare,Polypodiaceae,Geophyte,Native
Polypogon viridis,Poaceae,Hemicryptophyte,Native
Populus alba,Salicaceae,Mesophanerophyte,Alien
Potentilla reptans,Rosaceae,Hemicryptophyte,Native
Potentilla sterilis,Rosaceae,Hemicryptophyte,Native
Prunella vulgaris,Lamiaceae,Hemicryptophyte,Native
