"kingdom","phylum","class","order","family","genus","species"
"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured Holophaga"
"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured soil"
"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Elev-16S-1166","Elev-16S-1166","Elev-16S-1166","uncultured bacterium"
"Bacteria","Acidobacteriota","Acidobacteriae","Elev-16S-1166","Elev-16S-1166","Elev-16S-1166","uncultured soil"
"Bacteria","Acidobacteriota","Acidobacteriae","Elev-16S-1166","Elev-16S-1166","Elev-16S-1166",NA
"Bacteria","Acidobacteriota","Acidobacteriae","PAUC26f","PAUC26f","PAUC26f","metagenome"
"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter","bacterium Ellin7504"
"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter","uncultured Acidobacteriaceae"
"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter","uncultured Acidobacteriales"
"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter","uncultured Solibacter"
"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter","uncultured forest"
"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13","uncultured Holophaga"
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_13","Subgroup_13","Subgroup_13",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2","metagenome"
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2","uncultured Acidobacteria"
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2","uncultured Acidobacteriales"
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2","uncultured Holophaga"
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2","uncultured eubacterium"
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2","uncultured forest"
"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Subgroup_2","Subgroup_2",NA
"Bacteria","Acidobacteriota","Acidobacteriae",NA,NA,NA,NA
"Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24","11-24","Acidobacteria bacterium"
"Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24","11-24","uncultured Acidobacteria"
"Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24","11-24","uncultured Acidobacteriales"
"Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24","11-24","uncultured bacterium"
"Bacteria","Acidobacteriota","Blastocatellia","11-24","11-24","11-24",NA
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter","uncultured Acidobacterium"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter","uncultured bacterium"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter",NA
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella","uncultured Acidobacteria"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella","uncultured soil"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella",NA
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatellaceae","uncultured bacterium"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03","metagenome"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03","uncultured bacterium"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03",NA
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter","uncultured Acidobacteriaceae"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter","uncultured soil"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter",NA
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","uncultured",NA
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA,NA
"Bacteria","Acidobacteriota","Blastocatellia","DS-100","DS-100","DS-100","uncultured bacterium"
"Bacteria","Acidobacteriota","Blastocatellia","DS-100","DS-100","DS-100",NA
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","Arenimicrobium luteum"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultivated soil"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Acidobacteriaceae"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Acidobacteriales"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Blastocatella"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured organism"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"Bacteria","Acidobacteriota","Blastocatellia",NA,NA,NA,NA
"Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","uncultured","uncultured Acidobacteriaceae"
"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","uncultured Desulfovirga"
"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","uncultured Desulfuromonadales"
"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","uncultured Thermaerobacter"
"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","uncultured candidate"
"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","uncultured proteobacterium"
"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","uncultured soil"
"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7",NA
"Bacteria","Acidobacteriota","Subgroup_11","Subgroup_11","Subgroup_11","Subgroup_11","uncultured bacterium"
"Bacteria","Acidobacteriota","Subgroup_11","Subgroup_11","Subgroup_11","Subgroup_11",NA
"Bacteria","Acidobacteriota","Subgroup_18","Subgroup_18","Subgroup_18","Subgroup_18","uncultured bacterium"
"Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","metagenome"
"Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured Acidobacteriales"
"Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured Acidobacterium"
"Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured Holophaga"
"Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured bacterium"
"Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured proteobacterium"
"Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22",NA
"Bacteria","Acidobacteriota","Subgroup_25","Subgroup_25","Subgroup_25","Subgroup_25","uncultured Acidobacteria"
"Bacteria","Acidobacteriota","Subgroup_25","Subgroup_25","Subgroup_25","Subgroup_25","uncultured bacterium"
"Bacteria","Acidobacteriota","Subgroup_25","Subgroup_25","Subgroup_25","Subgroup_25","uncultured soil"
"Bacteria","Acidobacteriota","Subgroup_25","Subgroup_25","Subgroup_25","Subgroup_25",NA
"Bacteria","Acidobacteriota","Subgroup_5","Subgroup_5","Subgroup_5","Subgroup_5","uncultured Acidobacteria"
"Bacteria","Acidobacteriota","Subgroup_5","Subgroup_5","Subgroup_5","Subgroup_5","uncultured Truepera"
"Bacteria","Acidobacteriota","Subgroup_5","Subgroup_5","Subgroup_5","Subgroup_5","uncultured bacterium"
